angle,cl
-10, 0.07938044530493782
-5.020325203252032, 0.4530493707647627
-0.020325203252030022, 0.8112294288480155
4.979674796747968, 1.173281703775411
10.020325203252032, 1.5121006776379478
11.03658536585366, 1.5759922555663115
11.138211382113823, 1.4714424007744433
11.178861788617894, 1.2797676669893514
11.504065040650406, 1.1151984511132627
12.032520325203254, 0.9757986447241049
13.08943089430894, 0.8712487899322365
14.796747967479675, 0.8635043562439497
16.46341463414634, 0.8635043562439497
18.617886178861784, 0.8635043562439497
20.60975609756098, 0.8363988383349468
23.04878048780488, 0.8325266214908038
25.934959349593495, 0.8402710551790902
28.943089430894307, 0.8480154888673768
30.691056910569106, 0.8402710551790902
32.88617886178861, 0.8363988383349468
